"","turnover_count","x","y","play_pattern.name","distance_ball_moved","ball_movement_speed","percent_distance","pass.type.name","pass.angle","pressing_count_1","pressing_count_2","pressing_count_3","right_option","front_option","left_option","back_option","player.name","match_id","position_group"
"269",0,47.7,5.6,"Regular Play",8.049845,9.099736,2.978717,"",2.034444,0,2,0,1,1,0,1,"Player_20039",3764295,"WG"
"270",0,48.8,18.2,"Regular Play",14.38923,15.19082,18.72368,"",0.5320764,0,0,3,1,1,1,1,"Player_3381",3764295,"DM"
"271",0,61.2,25.5,"Regular Play",37.96683,12.10492,-8.131817,"",-0.624536,0,1,1,0,1,1,1,"Player_4319",3764295,"ST"
"272",1,92,3.3,"Regular Play",31.28466,18.05281,38.66382,"",0.9100335,0,0,1,1,1,0,1,"Player_20039",3764295,"WG"
"273",0,38.3,57.9,"From Keeper",54.08974,19.75702,20.71814,"",-0.7357009,0,0,1,0,1,1,1,"Player_4620",3764295,"FB"
"274",0,78.4,18.1,"From Keeper",14.99066,11.90292,-25.79864,"",-1.799595,1,0,1,1,0,0,1,"Player_3661",3764295,"ST"
"275",1,87,15.5,"From Keeper",11.18034,7.65869,12.92896,"",2.034444,1,1,2,0,1,0,1,"Player_10967",3764295,"WG"
"276",0,38.1,54.6,"Regular Play",8.631338,7.724975,-7.206043,"Recovery",2.323419,1,0,2,0,0,1,1,"Player_5204",3764295,"AM"
"277",0,39.6,65.7,"Regular Play",13.77679,6.139719,15.6727,"",0.6928796,0,0,0,0,1,1,1,"Player_3318",3764295,"WG"
"278",0,48.7,56.7,"Regular Play",10.76894,8.180024,-2.124441,"",-1.393434,0,0,1,1,1,1,1,"Player_20004",3764295,"DM"
"279",0,51.3,44.4,"Regular Play",46.45826,14.37658,-16.96564,"",-0.9923457,0,1,1,1,1,0,1,"Player_3381",3764295,"DM"
"280",0,89.9,5.5,"Regular Play",16.49242,11.46078,19.19356,"",1.969319,0,0,1,1,1,0,1,"Player_3382",3764295,"FB"
"281",0,87.5,22.2,"Regular Play",13.15523,8.222017,-4.773957,"",2.82465,0,2,0,1,1,1,1,"Player_20004",3764295,"DM"
"282",0,75,28,"Regular Play",18.50108,15.41757,12.35777,"",1.976398,0,1,0,1,1,1,1,"Player_3381",3764295,"DM"
"283",0,68.7,47.6,"Regular Play",26.162,18.32253,16.02282,"",1.50194,0,1,0,1,1,1,0,"Player_3324",3764295,"CB"
"284",0,70.5,73.7,"Regular Play",15.6205,14.88558,7.550716,"",-1.338239,0,1,0,0,1,1,0,"Player_3690",3764295,"FB"
"285",0,69.5,56.8,"Regular Play",19.86353,14.23424,-53.06244,"",-2.704966,0,1,1,1,1,1,1,"Player_5204",3764295,"AM"
"286",0,73.3,41,"Regular Play",26.15531,14.60214,56.4553,"",0.9923375,0,2,1,1,1,1,1,"Player_3324",3764295,"CB"
